! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
 800 1263.750   57.721
 801 1264.375   57.772
 802 1265.000   57.823
 803 1265.625   57.874
 804 1266.250   57.926
 805 1266.875   57.977
 806 1267.500   58.028
 807 1268.125   58.079
 808 1268.750   58.130
 809 1269.375   58.181
 810 1270.000   58.233
 811 1270.625   58.284
 812 1271.250   58.335
 813 1271.875   58.386
 814 1272.500   58.438
 815 1273.125   58.489
 816 1273.750   58.540
 817 1274.375   58.591
 818 1275.000   58.643
 819 1275.625   58.694
 820 1276.250   58.745
 821 1276.875   58.797
 822 1277.500   58.848
 823 1278.125   58.899
 824 1278.750   58.950
 825 1279.375   59.002
 826 1280.000   59.053
 827 1280.625   59.104
 828 1281.250   59.155
 829 1281.875   59.206
 830 1282.500   59.258
 831 1283.125   59.309
 832 1283.750   59.360
 833 1284.375   59.412
 834 1285.000   59.463
 835 1285.625   59.514
 836 1286.250   59.565
 837 1286.875   59.617
 838 1287.500   59.668
 839 1288.125   59.719
 840 1288.750   59.771
 841 1289.375   59.822
 842 1290.000   59.873
 843 1290.625   59.925
 844 1291.250   59.976
 845 1291.875   60.028
 846 1292.500   60.079
 847 1293.125   60.130
 848 1293.750   60.181
 849 1294.375   60.233
 850 1295.000   60.284
 851 1295.625   60.335
 852 1296.250   60.387
 853 1296.875   60.438
 854 1297.500   60.490
 855 1298.125   60.541
 856 1298.750   60.592
 857 1299.375   60.644
 858 1300.000   60.695
 859 1300.625   60.746
 860 1301.250   60.798
 861 1301.875   60.849
 862 1302.500   60.901
 863 1303.125   60.952
 864 1303.750   61.003
 865 1304.375   61.054
 866 1305.000   61.106
 867 1305.625   61.158
 868 1306.250   61.209
 869 1306.875   61.261
 870 1307.500   61.312
 871 1308.125   61.364
 872 1308.750   61.415
 873 1309.375   61.466
 874 1310.000   61.518
 875 1310.625   61.569
 876 1311.250   61.621
 877 1311.875   61.672
 878 1312.500   61.724
 879 1313.125   61.776
 880 1313.750   61.827
 881 1314.375   61.879
 882 1315.000   61.930
 883 1315.625   61.981
 884 1316.250   62.033
 885 1316.875   62.084
 886 1317.500   62.136
 887 1318.125   62.188
 888 1318.750   62.239
 889 1319.375   62.291
 890 1320.000   62.343
 891 1320.625   62.394
 892 1321.250   62.446
 893 1321.875   62.498
 894 1322.500   62.549
 895 1323.125   62.600
 896 1323.750   62.652
 897 1324.375   62.703
 898 1325.000   62.756
 899 1325.625   62.807
 900 1326.250   62.859
 901 1326.875   62.910
 902 1327.500   62.962
 903 1328.125   63.014
 904 1328.750   63.065
 905 1329.375   63.117
 906 1330.000   63.169
 907 1330.625   63.221
 908 1331.250   63.272
 909 1331.875   63.325
 910 1332.500   63.376
 911 1333.125   63.428
 912 1333.750   63.479
 913 1334.375   63.532
 914 1335.000   63.583
 915 1335.625   63.635
 916 1336.250   63.686
 917 1336.875   63.739
 918 1337.500   63.790
 919 1338.125   63.842
 920 1338.750   63.894
 921 1339.375   63.946
 922 1340.000   63.997
 923 1340.625   64.049
 924 1341.250   64.101
 925 1341.875   64.153
 926 1342.500   64.205
 927 1343.125   64.256
 928 1343.750   64.308
 929 1344.375   64.361
 930 1345.000   64.413
 931 1345.625   64.464
 932 1346.250   64.516
 933 1346.875   64.569
 934 1347.500   64.620
 935 1348.125   64.672
 936 1348.750   64.724
 937 1349.375   64.776
 938 1350.000   64.828
 939 1350.625   64.880
 940 1351.250   64.932
 941 1351.875   64.984
 942 1352.500   65.036
 943 1353.125   65.088
 944 1353.750   65.140
 945 1354.375   65.192
 946 1355.000   65.245
 947 1355.625   65.297
 948 1356.250   65.348
 949 1356.875   65.400
 950 1357.500   65.453
 951 1358.125   65.505
 952 1358.750   65.557
 953 1359.375   65.609
 954 1360.000   65.661
 955 1360.625   65.714
 956 1361.250   65.766
 957 1361.875   65.817
 958 1362.500   65.870
 959 1363.125   65.923
 960 1363.750   65.974
 961 1364.375   66.026
 962 1365.000   66.079
 963 1365.625   66.131
 964 1366.250   66.183
 965 1366.875   66.236
 966 1367.500   66.288
 967 1368.125   66.340
 968 1368.750   66.393
 969 1369.375   66.446
 970 1370.000   66.498
 971 1370.625   66.549
 972 1371.250   66.602
 973 1371.875   66.655
 974 1372.500   66.707
 975 1373.125   66.760
 976 1373.750   66.812
 977 1374.375   66.864
 978 1375.000   66.917
 979 1375.625   66.969
 980 1376.250   67.021
 981 1376.875   67.074
 982 1377.500   67.127
 983 1378.125   67.179
 984 1378.750   67.231
 985 1379.375   67.284
 986 1380.000   67.337
 987 1380.625   67.389
 988 1381.250   67.442
 989 1381.875   67.494
 990 1382.500   67.547
 991 1383.125   67.600
 992 1383.750   67.652
 993 1384.375   67.704
 994 1385.000   67.757
 995 1385.625   67.810
 996 1386.250   67.863
 997 1386.875   67.916
 998 1387.500   67.968
 999 1388.125   68.020
1000 1388.750   68.073
1001 1389.375   68.126
1002 1390.000   68.179
1003 1390.625   68.232
1004 1391.250   68.284
1005 1391.875   68.338
1006 1392.500   68.390
1007 1393.125   68.443
1008 1393.750   68.496
1009 1394.375   68.548
1010 1395.000   68.602
1011 1395.625   68.655
1012 1396.250   68.707
1013 1396.875   68.760
1014 1397.500   68.813
1015 1398.125   68.867
1016 1398.750   68.919
1017 1399.375   68.972
1018 1400.000   69.025
1019 1400.625   69.077
1020 1401.250   69.131
1021 1401.875   69.184
1022 1402.500   69.237
1023 1403.125   69.291
1024 1403.750   69.343
1025 1404.375   69.396
1026 1405.000   69.449
1027 1405.625   69.502
1028 1406.250   69.555
1029 1406.875   69.609
1030 1407.500   69.662
1031 1408.125   69.715
1032 1408.750   69.768
1033 1409.375   69.822
1034 1410.000   69.875
1035 1410.625   69.928
1036 1411.250   69.981
1037 1411.875   70.035
1038 1412.500   70.088
1039 1413.125   70.142
1040 1413.750   70.194
1041 1414.375   70.248
1042 1415.000   70.301
1043 1415.625   70.355
1044 1416.250   70.408
1045 1416.875   70.461
1046 1417.500   70.515
1047 1418.125   70.569
1048 1418.750   70.621
1049 1419.375   70.675
1050 1420.000   70.729
1051 1420.625   70.782
1052 1421.250   70.835
1053 1421.875   70.889
1054 1422.500   70.943
1055 1423.125   70.996
1056 1423.750   71.050
1057 1424.375   71.103
1058 1425.000   71.157
1059 1425.625   71.210
1060 1426.250   71.264
1061 1426.875   71.318
1062 1427.500   71.372
1063 1428.125   71.425
1064 1428.750   71.479
1065 1429.375   71.533
1066 1430.000   71.587
1067 1430.625   71.641
1068 1431.250   71.694
1069 1431.875   71.748
1070 1432.500   71.802
